profile,record_type,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
publicart_5-0-0,chronology,Associated Authorities,People,People relationship/type,peopleGroupList > peopleGroup,peopleType,string,n,n,y,vocabulary: chronologypeoplerelations,""
publicart_5-0-0,chronology,Associated Authorities,People,People date,peopleGroupList > peopleGroup,peopleStructuredDateGroup,structured date group,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,People,People citation,peopleGroupList > peopleGroup > peopleCitations,peopleCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,chronology,Associated Authorities,People,People note,peopleGroupList > peopleGroup,peopleNote,string,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Organization,multiple msg matches: chronologies_common.organization,organizationGroupList > organizationGroup,organization,string,n,n,y,authority: organization/local,""
publicart_5-0-0,chronology,Associated Authorities,Organization,Organization relationship/type,organizationGroupList > organizationGroup,organizationType,string,n,n,y,vocabulary: chronologyorganizationrelations,""
publicart_5-0-0,chronology,Associated Authorities,Organization,Organization date,organizationGroupList > organizationGroup,organizationStructuredDateGroup,structured date group,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Organization,Organization citation,organizationGroupList > organizationGroup > organizationCitations,organizationCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,chronology,Associated Authorities,Organization,Organization note,organizationGroupList > organizationGroup,organizationNote,string,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Concept,Concept associated,conceptGroupList > conceptGroup,concept,string,n,n,y,authority: concept/associated; authority: concept/material; authority: concept/nomenclature; authority: concept/occasion,""
publicart_5-0-0,chronology,Associated Authorities,Concept,Concept relationship/type,conceptGroupList > conceptGroup,conceptType,string,n,n,y,vocabulary: chronologyconceptrelations,""
publicart_5-0-0,chronology,Associated Authorities,Concept,Concept date,conceptGroupList > conceptGroup,conceptStructuredDateGroup,structured date group,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Concept,Concept citation,conceptGroupList > conceptGroup > conceptCitations,conceptCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,chronology,Associated Authorities,Concept,Concept note,conceptGroupList > conceptGroup,conceptNote,string,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Place,Place associated,placeGroupList > placeGroup,place,string,n,n,y,authority: place/local,""
publicart_5-0-0,chronology,Associated Authorities,Place,multiple msg matches: chronologies_common.placeType,placeGroupList > placeGroup,placeType,string,n,n,y,vocabulary: chronologyplacerelations,""
publicart_5-0-0,chronology,Associated Authorities,Place,Place date,placeGroupList > placeGroup,placeStructuredDateGroup,structured date group,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Place,Place citation,placeGroupList > placeGroup > placeCitations,placeCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,chronology,Associated Authorities,Place,multiple msg matches: chronologies_common.placeNote,placeGroupList > placeGroup,placeNote,string,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Related period,Related period associated,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriod,string,n,n,y,authority: chronology/era; authority: chronology/event; authority: chronology/fieldcollection,""
publicart_5-0-0,chronology,Associated Authorities,Related period,Related period relationship/type,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodType,string,n,n,y,vocabulary: chronologyrelations,""
publicart_5-0-0,chronology,Associated Authorities,Related period,Related period date,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodStructuredDateGroup,structured date group,n,n,y,"",""
publicart_5-0-0,chronology,Associated Authorities,Related period,Related period citation,relatedPeriodGroupList > relatedPeriodGroup > relatedPeriodCitations,relatedPeriodCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,chronology,Associated Authorities,Related period,Related period note,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodNote,string,n,n,y,"",""
publicart_5-0-0,chronology,Alternative Date Information,Alternative date,Alternative date range,otherDateGroupList > otherDateGroup,otherDateStructuredDateGroup,structured date group,n,n,y,"",""
publicart_5-0-0,chronology,Alternative Date Information,Alternative date,Alternative date spacial coverage,otherDateGroupList > otherDateGroup > otherDatePlaces,otherDatePlace,string,n,y,as part of larger repeating group,authority: place/local,""
publicart_5-0-0,chronology,Alternative Date Information,Alternative date,Alternative date citation,otherDateGroupList > otherDateGroup > otherDateCitations,otherDateCitation,string,n,y,as part of larger repeating group,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,chronology,Alternative Date Information,Alternative date,Alternative date note,otherDateGroupList > otherDateGroup,otherDateNote,string,n,n,y,"",""
publicart_5-0-0,collectionobject,Object Identification Information,"",Artwork ID,"",objectNumber,string,y,n,n/a,"",""
publicart_5-0-0,collectionobject,Object Identification Information,"",Number of objects,"",numberOfObjects,integer,n,n,n/a,"",""
publicart_5-0-0,collectionobject,Object Identification Information,"",Program name,responsibleDepartments,responsibleDepartment,string,n,y,n,vocabulary: program,""
publicart_5-0-0,collectionobject,Object Identification Information,"",Collection,publicartCollections,publicartCollection,string,n,y,n,authority: organization/local,""
publicart_5-0-0,collectionobject,Object Identification Information,"",Record status,"",recordStatus,string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary"
publicart_5-0-0,collectionobject,Object Identification Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,""
publicart_5-0-0,collectionobject,Object Identification Information,"",Installation type,inventoryStatusList,inventoryStatus,string,n,y,n,vocabulary: inventorystatus,""
publicart_5-0-0,collectionobject,Object Identification Information,"",Artwork description,briefDescriptions,briefDescription,string,n,y,n,"",""
publicart_5-0-0,collectionobject,Object Identification Information,"",Artwork tag,contentConcepts,contentConcept,string,n,y,n,authority: concept/associated,""
publicart_5-0-0,collectionobject,Object Identification Information,"",Distinguishing features,"",distinguishingFeatures,string,n,n,n/a,"",""
publicart_5-0-0,collectionobject,Object Identification Information,"",Comment,comments,comment,string,n,y,n,"",""
publicart_5-0-0,collectionobject,Object Identification Information,"",Computed current location,"",computedCurrentLocation,string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local; authority: place/local,""
publicart_5-0-0,collectionobject,Object Identification Information,Title,Title,titleGroupList > titleGroup,title,string,n,n,y,"",""
publicart_5-0-0,collectionobject,Object Identification Information,Title,Title language,titleGroupList > titleGroup,titleLanguage,string,n,n,y,vocabulary: languages,""
publicart_5-0-0,collectionobject,Object Identification Information,Title,Title type,titleGroupList > titleGroup,titleType,string,n,n,y,option list: titleTypes,"assigned-by-artist, cited, collection, generic, popular, series, trade"
publicart_5-0-0,collectionobject,Object Identification Information,Title > Title translation,Title translation,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslation,string,n,n,y,"",""
publicart_5-0-0,collectionobject,Object Identification Information,Title > Title translation,Title translation language,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslationLanguage,string,n,n,y,vocabulary: languages,""
publicart_5-0-0,collectionobject,Object Identification Information,Work type,Work type,objectNameList > objectNameGroup,objectName,string,n,n,y,authority: concept/worktype,""
publicart_5-0-0,collectionobject,Object Identification Information,Work type,Work type note,objectNameList > objectNameGroup,objectNameNote,string,n,n,y,"",""
publicart_5-0-0,collectionobject,Object Identification Information,Object Owner's Contribution Information,Owner,owners,owner,string,n,y,n,authority: person/local; authority: organization/local,""
publicart_5-0-0,collectionobject,Object Description Information,Material,Material,materialGroupList > materialGroup,material,string,n,n,y,authority: concept/material,""
publicart_5-0-0,collectionobject,Object Description Information,Material,Material note,materialGroupList > materialGroup,materialComponentNote,string,n,n,y,"",""
publicart_5-0-0,collectionobject,Object Description Information,Dimensions,Measured part,measuredPartGroupList > measuredPartGroup,measuredPart,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed"
publicart_5-0-0,collectionobject,Object Description Information,Dimensions,Dimension summary,measuredPartGroupList > measuredPartGroup,dimensionSummary,string,n,n,y,"",""
publicart_5-0-0,collectionobject,Object Description Information,Dimensions > Measurement,Measurement dimension,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,dimension,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width"
publicart_5-0-0,collectionobject,Object Description Information,Dimensions > Measurement,Measurement value,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,value,float,n,n,y,"",""
publicart_5-0-0,collectionobject,Object Description Information,Dimensions > Measurement,Measurement unit,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementUnit,string,n,n,y,option list: measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons"
publicart_5-0-0,collectionobject,Object Description Information,Textual Inscription > Textual inscription,Textual inscription content,textualInscriptionGroupList > textualInscriptionGroup,inscriptionContent,string,n,n,y,"",""
publicart_5-0-0,collectionobject,Object Description Information,Textual Inscription > Textual inscription,Textual inscription inscriber,textualInscriptionGroupList > textualInscriptionGroup,inscriptionContentInscriber,string,n,n,y,authority: person/local; authority: organization/local,""
publicart_5-0-0,collectionobject,Object Description Information,Textual Inscription > Textual inscription,Textual inscription position,textualInscriptionGroupList > textualInscriptionGroup,inscriptionContentPosition,string,n,n,y,option list: positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso"
publicart_5-0-0,collectionobject,Object Description Information,Textual Inscription > Textual inscription,Textual inscription type,textualInscriptionGroupList > textualInscriptionGroup,inscriptionContentType,string,n,n,y,option list: inscriptionTypes,"brand, credits, decoration, estate-stamp, graffiti, label, maker's-mark, plaque, signage"
publicart_5-0-0,collectionobject,Object Production Information,Artwork date,Artwork date,publicartProductionDateGroupList > publicartProductionDateGroup,publicartProductionDate,structured date group,n,n,y,"",""
publicart_5-0-0,collectionobject,Object Production Information,Artwork date,Artwork date type,publicartProductionDateGroupList > publicartProductionDateGroup,publicartProductionDateType,string,n,n,y,vocabulary: proddatetype,""
publicart_5-0-0,collectionobject,Object Production Information,Artwork creator,Artwork creator name,publicartProductionPersonGroupList > publicartProductionPersonGroup,publicartProductionPerson,string,n,n,y,authority: person/local; authority: organization/local,""
publicart_5-0-0,collectionobject,Object Production Information,Artwork creator,Artwork creator role,publicartProductionPersonGroupList > publicartProductionPersonGroup,publicartProductionPersonRole,string,n,n,y,vocabulary: prodpersonrole,""
publicart_5-0-0,collectionobject,Object Production Information,Artwork creator,Artwork creator type,publicartProductionPersonGroupList > publicartProductionPersonGroup,publicartProductionPersonType,string,n,n,y,option list: creatorTypes,"culture, organization, person"
publicart_5-0-0,collectionobject,Object Production Information,"",Production note,"",objectProductionNote,string,n,n,n/a,"",""
publicart_5-0-0,concept,Concept Information,Term,Term display name,conceptTermGroupList > conceptTermGroup,termDisplayName,string,y,n,y,"",""
publicart_5-0-0,concept,Concept Information,Term,Term name,conceptTermGroupList > conceptTermGroup,termName,string,n,n,y,"",""
publicart_5-0-0,concept,Concept Information,Term,Term qualifier,conceptTermGroupList > conceptTermGroup,termQualifier,string,n,n,y,"",""
publicart_5-0-0,concept,Concept Information,Term,Term status,conceptTermGroupList > conceptTermGroup,termStatus,string,n,n,y,option list: conceptTermStatuses,"accepted, provisional, rejected, under review"
publicart_5-0-0,concept,Concept Information,Term,Term type,conceptTermGroupList > conceptTermGroup,termType,string,n,n,y,option list: conceptTermTypes,"alternate descriptor, descriptor, used for term"
publicart_5-0-0,concept,Concept Information,Term,Term flag,conceptTermGroupList > conceptTermGroup,termFlag,string,n,n,y,vocabulary: concepttermflag,""
publicart_5-0-0,concept,Concept Information,Term,Term historical status,conceptTermGroupList > conceptTermGroup,historicalStatus,string,n,n,y,option list: conceptHistoricalStatuses,"both, current, historical, unknown"
publicart_5-0-0,concept,Concept Information,Term,Term language,conceptTermGroupList > conceptTermGroup,termLanguage,string,n,n,y,vocabulary: languages,""
publicart_5-0-0,concept,Concept Information,Term,Term preferred for lang,conceptTermGroupList > conceptTermGroup,termPrefForLang,boolean,n,n,y,"",""
publicart_5-0-0,concept,Concept Information,Term > Source,Term source name,conceptTermGroupList > conceptTermGroup,termSource,string,n,n,y,authority: citation/local; authority: citation/worldcat,""
publicart_5-0-0,concept,Concept Information,Term > Source,Term source detail,conceptTermGroupList > conceptTermGroup,termSourceDetail,string,n,n,y,"",""
publicart_5-0-0,concept,Concept Information,Term > Source,Term source ID,conceptTermGroupList > conceptTermGroup,termSourceID,string,n,n,y,"",""
publicart_5-0-0,concept,Concept Information,Term > Source,Term source note,conceptTermGroupList > conceptTermGroup,termSourceNote,string,n,n,y,"",""
publicart_5-0-0,concept,Concept Information,"",Scope note,"",scopeNote,string,n,n,n/a,"",""
publicart_5-0-0,conditioncheck,Condition Check/Technical Assessment Information,"",Reference number,"",conditionCheckRefNumber,string,y,n,n/a,"",""
publicart_5-0-0,conditioncheck,Condition Check/Technical Assessment Information,"",Check/assessment date,"",conditionCheckAssessmentDate,date,n,n,n/a,"",""
publicart_5-0-0,conditioncheck,Condition Check/Technical Assessment Information,"",Method,"",conditionCheckMethod,string,n,n,n/a,option list: conditionCheckMethods,"observed, xrayed"
publicart_5-0-0,conditioncheck,Condition Check/Technical Assessment Information,"",Reason,"",conditionCheckReason,string,n,n,n/a,option list: conditionCheckReasons,"cleaning, conservation, damagedintransit, inventory, loanin, newacquisition"
publicart_5-0-0,conditioncheck,Condition Check/Technical Assessment Information,"",Checker/assessor,"",conditionChecker,string,n,n,n/a,authority: person/local; authority: organization/local,""
publicart_5-0-0,conditioncheck,Condition Check/Technical Assessment Information,"",Note,"",conditionCheckNote,string,n,n,n/a,"",""
publicart_5-0-0,conditioncheck,Object Condition Information,"",Object audit category,"",objectAuditCategory,string,n,n,n/a,option list: objectAuditCategories,"high, low, medium"
publicart_5-0-0,conditioncheck,Object Condition Information,"",Conservation treatment priority,"",conservationTreatmentPriority,string,n,n,n/a,option list: conservationTreatmentPriorities,"high, low, medium"
publicart_5-0-0,conditioncheck,Object Condition Information,"",Next check/assessment date,"",nextConditionCheckDate,date,n,n,n/a,"",""
publicart_5-0-0,conditioncheck,Object Condition Information,Completeness,Completeness description,completenessGroupList > completenessGroup,completeness,string,n,n,y,option list: completenessLevels,"complete, fragmented, incomplete"
publicart_5-0-0,conditioncheck,Object Condition Information,Completeness,Completeness date,completenessGroupList > completenessGroup,completenessDate,date,n,n,y,"",""
publicart_5-0-0,conditioncheck,Object Condition Information,Completeness,Completeness note,completenessGroupList > completenessGroup,completenessNote,string,n,n,y,"",""
publicart_5-0-0,conditioncheck,Object Condition Information,Technical assessment,Technical assessment description,techAssessmentGroupList > techAssessmentGroup,techAssessment,string,n,n,y,"",""
publicart_5-0-0,conditioncheck,Object Condition Information,Technical assessment,Technical assessment date,techAssessmentGroupList > techAssessmentGroup,techAssessmentDate,date,n,n,y,"",""
publicart_5-0-0,conditioncheck,Object Condition Information,Condition,Condition description,conditionCheckGroupList > conditionCheckGroup,condition,string,n,n,y,option list: conditions,"exhibitableneedswork, injeopardy, needsnowork, notexhibitablestable"
