profile,record_type,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
herbarium_2-0-5,collectionobject,Object Identification Information,Determination history > Reference,Taxonomic identification reference page,determinationHistoryGroupList > determinationHistoryGroup,determinationRefPage,string,n,n,y,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,Determination history,Taxonomic identification note,determinationHistoryGroupList > determinationHistoryGroup,determinationNote,string,n,n,y,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,Local name,Local name,localNameGroupList > localNameGroup,localName,string,n,n,y,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,Local name,Local name language,localNameGroupList > localNameGroup,localNameLanguage,string,n,n,y,vocabulary: languages,""
herbarium_2-0-5,collectionobject,Object Identification Information,Hybrid parent,Hybrid parent name,herbHybridParentGroupList > herbHybridParentGroup,herbHybridParent,string,n,n,y,authority: taxon/local; authority: taxon/common,""
herbarium_2-0-5,collectionobject,Object Identification Information,Hybrid parent,Hybrid parent qualifier,herbHybridParentGroupList > herbHybridParentGroup,herbHybridParentQualifier,string,n,n,y,vocabulary: hybridparentqualifier,""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Hybrid name,"",hybridName,string,n,n,n/a,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Label header,"",labelHeader,string,n,n,n/a,authority: concept/labeltext,""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Label footer,"",labelFooter,string,n,n,n/a,authority: concept/labeltext,""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Sheet number,"",sheetNumber,integer,n,n,n/a,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Sheet count,"",sheetCount,integer,n,n,n/a,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Brief description,briefDescriptions,briefDescription,string,n,y,n,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,""
herbarium_2-0-5,collectionobject,Object Identification Information,Other number,Other number value,otherNumberList > otherNumber,numberValue,string,n,n,y,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,Other number,Other number type,otherNumberList > otherNumber,numberType,string,n,n,y,option list: numberTypes,"associated uuid, barcode, lender, obsolete, previous, serial, unknown"
herbarium_2-0-5,collectionobject,Object Identification Information,"",Comment,comments,comment,string,n,y,n,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,"",Inventory status,inventoryStatusList,inventoryStatus,string,n,y,n,vocabulary: inventorystatus,""
herbarium_2-0-5,collectionobject,Object Identification Information,Annotation,Annotation type,annotationGroupList > annotationGroup,annotationType,string,n,n,y,vocabulary: annotationtype,""
herbarium_2-0-5,collectionobject,Object Identification Information,Annotation,Annotation note,annotationGroupList > annotationGroup,annotationNote,string,n,n,y,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,Annotation,Annotation date,annotationGroupList > annotationGroup,annotationDate,date,n,n,y,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,Annotation,Annotation author,annotationGroupList > annotationGroup,annotationAuthor,string,n,n,y,authority: person/local,""
herbarium_2-0-5,collectionobject,Object Identification Information,Type specimen,Type specimen kind,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenKind,string,n,n,y,vocabulary: typespecimenkind,""
herbarium_2-0-5,collectionobject,Object Identification Information,Type specimen,Type specimen asserted by,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenAssertionBy,string,n,n,y,authority: organization/local,""
herbarium_2-0-5,collectionobject,Object Identification Information,Type specimen,Type specimen reference,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenReference,string,n,n,y,"",""
herbarium_2-0-5,collectionobject,Object Identification Information,Type specimen,Type specimen reference page,herbTypeSpecimenGroupList > herbTypeSpecimenGroup,herbTypeSpecimenRefPage,string,n,n,y,"",""
