fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
botgarden uoc ns2:uoc_common useDateVisitorNote,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.useDateVisitorNote,Use of Collections Information,"",Start/ongoing date visitor note,useDateGroupList > useDateGroup,useDateVisitorNote,string,n,n,y,"","",""
botgarden uoc ns2:uoc_common endDate,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.endDate,Use of Collections Information,"",End date,"",endDate,date,n,n,n/a,"","",""
botgarden uoc ns2:uoc_common staffName,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.staffName,Use of Collections Information,"",Staff name,staffGroupList > staffGroup,staffName,string,n,n,y,authority,person/local; organization/local,""
botgarden uoc ns2:uoc_common staffRole,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.staffRole,Use of Collections Information,"",Staff role,staffGroupList > staffGroup,staffRole,string,n,n,y,vocabulary,uocstaffroles,""
botgarden uoc ns2:uoc_common staffHours,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.staffHours,Use of Collections Information,"",Staff hours spent,staffGroupList > staffGroup,staffHours,float,n,n,y,"","",""
botgarden uoc ns2:uoc_common staffNote,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.staffNote,Use of Collections Information,"",Staff note,staffGroupList > staffGroup,staffNote,string,n,n,y,"","",""
botgarden uoc ns2:uoc_common location,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.location,Use of Collections Information,"",Location,locationList,location,string,n,y,n,authority,organization/local; place/local; location/local,""
botgarden uoc ns2:uoc_common feeCurrency,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.feeCurrency,Use of Collections Information,"",Fee currency,feeGroupList > feeGroup,feeCurrency,string,n,n,y,vocabulary,currency,""
botgarden uoc ns2:uoc_common feeValue,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.feeValue,Use of Collections Information,"",Fee value,feeGroupList > feeGroup,feeValue,float,n,n,y,"","",""
botgarden uoc ns2:uoc_common feePaid,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.feePaid,Use of Collections Information,"",Fee paid,feeGroupList > feeGroup,feePaid,boolean,n,n,y,"","",""
botgarden uoc ns2:uoc_common feeNote,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.feeNote,Use of Collections Information,"",Fee note,feeGroupList > feeGroup,feeNote,string,n,n,y,"","",""
botgarden uoc ns2:uoc_common note,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.note,Use of Collections Information,"",Note,"",note,string,n,n,n/a,"","",""
botgarden uoc ns2:uoc_common provisos,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.provisos,Use of Collections Information,"",Provisos,"",provisos,string,n,n,n/a,"","",""
botgarden uoc ns2:uoc_common obligationsFulfilled,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.obligationsFulfilled,Use of Collections Information,"",Obligations fulfilled,"",obligationsFulfilled,boolean,n,n,n/a,"","",""
botgarden uoc ns2:uoc_common result,botgarden,uoc,ns2:uoc_common,ns2:uoc_common,uoc_common.result,Use of Collections Information,"",Result,"",result,string,n,n,n/a,"","",""
fcart collectionobject ns2:collectionobjects_common sex,fcart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.sex,Object Description Information,"",Sex,"",sex,string,n,n,n/a,option list,sexes,"female, male"
fcart collectionobject ns2:collectionobjects_common phase,fcart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.phase,Object Description Information,"",Phase,"",phase,string,n,n,n/a,option list,phases,"adult, imago, larva, nymph, pupa"
fcart collectionobject ns2:collectionobjects_common form,fcart,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.form,Object Description Information,"",Form,forms,form,string,n,y,n,option list,forms,"dry, pinned, thin-section, wet"
materials conservation ns2:conservation_common conservationNumber,materials,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.conservationNumber,Conservation Treatment Information,"",Reference number,"",conservationNumber,string,y,n,n/a,"","",""
materials conservation ns2:conservation_common status,materials,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.status,Conservation Treatment Information,"",Procedural status,conservationStatusGroupList > conservationStatusGroup,status,string,n,n,y,vocabulary,conservationstatus,""
materials conservation ns2:conservation_common statusDate,materials,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.statusDate,Conservation Treatment Information,"",Procedural status date,conservationStatusGroupList > conservationStatusGroup,statusDate,date,n,n,y,"","",""
materials conservation ns2:conservation_common treatmentPurpose,materials,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.treatmentPurpose,Conservation Treatment Information,"",Treatment purpose,"",treatmentPurpose,string,n,n,n/a,vocabulary,treatmentpurpose,""
materials conservation ns2:conservation_common conservator,materials,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.conservator,Conservation Treatment Information,"",Conservator,conservators,conservator,string,n,y,n,authority,person/local; person/shared; organization/local; organization/shared,""
materials conservation ns2:conservation_common otherParty,materials,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.otherParty,Conservation Treatment Information,"",Other treatment party name,otherPartyGroupList > otherPartyGroup,otherParty,string,n,n,y,authority,person/local; person/shared; organization/local; organization/shared,""
materials conservation ns2:conservation_common otherPartyRole,materials,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.otherPartyRole,Conservation Treatment Information,"",Other treatment party role,otherPartyGroupList > otherPartyGroup,otherPartyRole,string,n,n,y,vocabulary,otherpartyrole,""
materials conservation ns2:conservation_common otherPartyNote,materials,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.otherPartyNote,Conservation Treatment Information,"",Other treatment party note,otherPartyGroupList > otherPartyGroup,otherPartyNote,string,n,n,y,"","",""
materials conservation ns2:conservation_common examinationStaff,materials,conservation,ns2:conservation_common,ns2:conservation_common,conservation_common.examinationStaff,Conservation Treatment Information,"",Examination staff,examinationGroupList > examinationGroup,examinationStaff,string,n,n,y,authority,person/local; person/shared,""
