profile,id,label
core_10-0-0-fd57a64,collectionobject.computedCurrentLocation,Object Identification Information > Computed current location
core_10-0-0-fd57a64,collectionobject.annotationType,Object Identification Information > Annotation type
core_10-0-0-fd57a64,collectionobject.annotationDate,Object Identification Information > Annotation date
core_10-0-0-fd57a64,collectionobject.annotationAuthor,Object Identification Information > Annotation author
core_10-0-0-fd57a64,collectionobject.annotationNote,Object Identification Information > Annotation note
core_10-0-0-fd57a64,collectionobject.title,Object Identification Information > Title
core_10-0-0-fd57a64,collectionobject.titleLanguage,Object Identification Information > Title language
core_10-0-0-fd57a64,collectionobject.titleType,Object Identification Information > Title type
core_10-0-0-fd57a64,collectionobject.titleTranslation,Object Identification Information > Title translation
core_10-0-0-fd57a64,collectionobject.titleTranslationLanguage,Object Identification Information > Title translation language
core_10-0-0-fd57a64,collectionobject.objectNameControlled,Object Identification Information > Object name controlled
core_10-0-0-fd57a64,collectionobject.objectName,Object Identification Information > Object name
core_10-0-0-fd57a64,collectionobject.objectNameCurrency,Object Identification Information > Object name currency
core_10-0-0-fd57a64,collectionobject.objectNameLevel,Object Identification Information > Object name level
core_10-0-0-fd57a64,collectionobject.objectNameSystem,Object Identification Information > Object name system
core_10-0-0-fd57a64,collectionobject.objectNameType,Object Identification Information > Object name type
core_10-0-0-fd57a64,collectionobject.objectNameLanguage,Object Identification Information > Object name language
core_10-0-0-fd57a64,collectionobject.objectNameNote,Object Identification Information > Object name note
core_10-0-0-fd57a64,collectionobject.objectCount,Object Identification Information > Object count value
core_10-0-0-fd57a64,collectionobject.objectCountUnit,Object Identification Information > Object count unit
core_10-0-0-fd57a64,collectionobject.objectCountType,Object Identification Information > Object count type
core_10-0-0-fd57a64,collectionobject.objectCountCountedBy,Object Identification Information > Object count counted by
core_10-0-0-fd57a64,collectionobject.objectCountDate,Object Identification Information > Object count date
core_10-0-0-fd57a64,collectionobject.objectCountNote,Object Identification Information > Object count note
core_10-0-0-fd57a64,collectionobject.copyNumber,Object Description Information > Copy number
core_10-0-0-fd57a64,collectionobject.objectStatus,Object Description Information > Object status
core_10-0-0-fd57a64,collectionobject.sex,Object Description Information > Sex
core_10-0-0-fd57a64,collectionobject.phase,Object Description Information > Phase
core_10-0-0-fd57a64,collectionobject.form,Object Description Information > Form
core_10-0-0-fd57a64,collectionobject.editionNumber,Object Description Information > Edition number
core_10-0-0-fd57a64,collectionobject.ageQualifier,Object Description Information > Age > Age qualifier
core_10-0-0-fd57a64,collectionobject.age,Object Description Information > Age > Age value
core_10-0-0-fd57a64,collectionobject.ageUnit,Object Description Information > Age > Age unit
core_10-0-0-fd57a64,collectionobject.style,Object Description Information > Style
