profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
bonsai_6-0-0,Object,Measurement unit,Object Description Information,"",string,n,n,y,option list,measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons",collectionobject,measurementUnit
bonsai_6-0-0,Object,Measurement qualifier,Object Description Information,"",string,n,n,y,"","","",collectionobject,valueQualifier
bonsai_6-0-0,Object,Measurement date,Object Description Information,"",date,n,n,y,"","","",collectionobject,valueDate
bonsai_6-0-0,Object,Dimension note,Object Description Information,"",string,n,n,y,"","","",collectionobject,measuredPartNote
bonsai_6-0-0,Object,Flowers Jan,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersJan
bonsai_6-0-0,Object,Flowers Feb,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersFeb
bonsai_6-0-0,Object,Flowers Mar,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersMar
bonsai_6-0-0,Object,Flowers Apr,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersApr
bonsai_6-0-0,Object,Flowers May,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersMay
bonsai_6-0-0,Object,Flowers Jun,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersJun
bonsai_6-0-0,Object,Flowers Jul,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersJul
bonsai_6-0-0,Object,Flowers Aug,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersAug
bonsai_6-0-0,Object,Flowers Sep,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersSep
bonsai_6-0-0,Object,Flowers Oct,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersOct
bonsai_6-0-0,Object,Flowers Nov,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersNov
bonsai_6-0-0,Object,Flowers Dec,Object Description Information,Accession Attributes > Flowers,string,n,n,n/a,vocabulary,floweringstatus,"",collectionobject,flowersDec
bonsai_6-0-0,Object,Fruits Jan,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsJan
bonsai_6-0-0,Object,Fruits Feb,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsFeb
bonsai_6-0-0,Object,Fruits Mar,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsMar
bonsai_6-0-0,Object,Fruits Apr,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsApr
bonsai_6-0-0,Object,Fruits May,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsMay
bonsai_6-0-0,Object,Fruits Jun,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsJun
bonsai_6-0-0,Object,Fruits Jul,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsJul
bonsai_6-0-0,Object,Fruits Aug,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsAug
bonsai_6-0-0,Object,Fruits Sep,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsSep
bonsai_6-0-0,Object,Fruits Oct,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsOct
bonsai_6-0-0,Object,Fruits Nov,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsNov
bonsai_6-0-0,Object,Fruits Dec,Object Description Information,Accession Attributes > Fruits,boolean,n,n,n/a,"","","",collectionobject,fruitsDec
bonsai_6-0-0,Object,Content description,Object Description Information,Content,string,n,n,n/a,"","","",collectionobject,contentDescription
