profile,id_caps,id_lower,label
core_9_0,collectionobject.descriptionLevel,collectionobject.descriptionlevel,Object Identification Information > Description level
core_9_0,collectionobject.recordStatus,collectionobject.recordstatus,Object Identification Information > Record status
core_9_0,collectionobject.publishTo,collectionobject.publishto,Object Identification Information > Publish to
core_9_0,collectionobject.inventoryStatus,collectionobject.inventorystatus,Object Identification Information > Inventory status
core_9_0,collectionobject.briefDescription,collectionobject.briefdescription,Object Identification Information > Brief description
core_9_0,collectionobject.distinguishingFeatures,collectionobject.distinguishingfeatures,Object Identification Information > Distinguishing features
core_9_0,collectionobject.comment,collectionobject.comment,Object Identification Information > Comment
core_9_0,collectionobject.computedCurrentLocation,collectionobject.computedcurrentlocation,Object Identification Information > Computed current location
core_9_0,collectionobject.homeLocation,collectionobject.homelocation,Object Identification Information > Home location
core_9_0,collectionobject.homeLocationNote,collectionobject.homelocationnote,Object Identification Information > Home location note
core_9_0,collectionobject.annotationType,collectionobject.annotationtype,Object Identification Information > Annotation type
core_9_0,collectionobject.annotationDate,collectionobject.annotationdate,Object Identification Information > Annotation date
core_9_0,collectionobject.annotationAuthor,collectionobject.annotationauthor,Object Identification Information > Annotation author
core_9_0,collectionobject.annotationNote,collectionobject.annotationnote,Object Identification Information > Annotation note
core_9_0,collectionobject.title,collectionobject.title,Object Identification Information > Title
core_9_0,collectionobject.titleLanguage,collectionobject.titlelanguage,Object Identification Information > Title language
core_9_0,collectionobject.titleType,collectionobject.titletype,Object Identification Information > Title type
core_9_0,collectionobject.titleTranslation,collectionobject.titletranslation,Object Identification Information > Title translation
core_9_0,collectionobject.titleTranslationLanguage,collectionobject.titletranslationlanguage,Object Identification Information > Title translation language
core_9_0,collectionobject.objectNameControlled,collectionobject.objectnamecontrolled,Object Identification Information > Object name controlled
core_9_0,collectionobject.objectName,collectionobject.objectname,Object Identification Information > Object name
core_9_0,collectionobject.objectNameCurrency,collectionobject.objectnamecurrency,Object Identification Information > Object name currency
core_9_0,collectionobject.objectNameLevel,collectionobject.objectnamelevel,Object Identification Information > Object name level
core_9_0,collectionobject.objectNameSystem,collectionobject.objectnamesystem,Object Identification Information > Object name system
core_9_0,collectionobject.objectNameType,collectionobject.objectnametype,Object Identification Information > Object name type
core_9_0,collectionobject.objectNameLanguage,collectionobject.objectnamelanguage,Object Identification Information > Object name language
core_9_0,collectionobject.objectNameNote,collectionobject.objectnamenote,Object Identification Information > Object name note
core_9_0,collectionobject.objectCount,collectionobject.objectcount,Object Identification Information > Object count value
core_9_0,collectionobject.objectCountUnit,collectionobject.objectcountunit,Object Identification Information > Object count unit
core_9_0,collectionobject.objectCountType,collectionobject.objectcounttype,Object Identification Information > Object count type
