fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
core_9_0 acquisition acquisitionDateGroup ext.structuredDate datePeriod,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.datePeriod,Acquisition Information,Acquisition date,Period,acquisitionDateGroupList > acquisitionDateGroup,datePeriod,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateAssociation,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateAssociation,Acquisition Information,Acquisition date,Association,acquisitionDateGroupList > acquisitionDateGroup,dateAssociation,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateNote,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateNote,Acquisition Information,Acquisition date,Note,acquisitionDateGroupList > acquisitionDateGroup,dateNote,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateEarliestSingleYear,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleYear,Acquisition Information,Acquisition date,Earliest/single year,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleYear,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateEarliestSingleMonth,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleMonth,Acquisition Information,Acquisition date,Earliest/single month,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleMonth,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateEarliestSingleDay,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleDay,Acquisition Information,Acquisition date,Earliest/single day,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleDay,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateEarliestSingleEra,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleEra,Acquisition Information,Acquisition date,Earliest/single era,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleEra,"",n,n,y,vocabulary,dateera,""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateEarliestSingleCertainty,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleCertainty,Acquisition Information,Acquisition date,Earliest/single certainty,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleCertainty,"",n,n,y,vocabulary,datecertainty,""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateEarliestSingleQualifier,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Acquisition Information,Acquisition date,Earliest/single qualifier,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleQualifier,"",n,n,y,option list,dateQualifiers,", +, +/-, -"
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateEarliestSingleQualifierValue,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierValue,Acquisition Information,Acquisition date,Earliest/single qualifier value,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleQualifierValue,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateEarliestSingleQualifierUnit,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierUnit,Acquisition Information,Acquisition date,Earliest/single qualifier unit,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestSingleQualifierUnit,"",n,n,y,vocabulary,datequalifier,""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateLatestYear,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestYear,Acquisition Information,Acquisition date,Latest year,acquisitionDateGroupList > acquisitionDateGroup,dateLatestYear,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateLatestMonth,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestMonth,Acquisition Information,Acquisition date,Latest month,acquisitionDateGroupList > acquisitionDateGroup,dateLatestMonth,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateLatestDay,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestDay,Acquisition Information,Acquisition date,Latest day,acquisitionDateGroupList > acquisitionDateGroup,dateLatestDay,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateLatestEra,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestEra,Acquisition Information,Acquisition date,Latest era,acquisitionDateGroupList > acquisitionDateGroup,dateLatestEra,"",n,n,y,vocabulary,dateera,""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateLatestCertainty,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestCertainty,Acquisition Information,Acquisition date,Latest certainty,acquisitionDateGroupList > acquisitionDateGroup,dateLatestCertainty,"",n,n,y,vocabulary,datecertainty,""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateLatestQualifier,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifier,Acquisition Information,Acquisition date,Latest qualifier,acquisitionDateGroupList > acquisitionDateGroup,dateLatestQualifier,"",n,n,y,option list,dateQualifiers,", +, +/-, -"
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateLatestQualifierValue,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifierValue,Acquisition Information,Acquisition date,Latest qualifier value,acquisitionDateGroupList > acquisitionDateGroup,dateLatestQualifierValue,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateLatestQualifierUnit,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestQualifierUnit,Acquisition Information,Acquisition date,Latest qualifier unit,acquisitionDateGroupList > acquisitionDateGroup,dateLatestQualifierUnit,"",n,n,y,vocabulary,datequalifier,""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateEarliestScalarValue,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateEarliestScalarValue,Acquisition Information,Acquisition date,Earliest represented date,acquisitionDateGroupList > acquisitionDateGroup,dateEarliestScalarValue,"",n,n,y,"","",""
core_9_0 acquisition acquisitionDateGroup ext.structuredDate dateLatestScalarValue,core_9_0,acquisition,ns2:acquisitions_common,ext.structuredDate,ext.structuredDate.dateLatestScalarValue,Acquisition Information,Acquisition date,Latest represented date,acquisitionDateGroupList > acquisitionDateGroup,dateLatestScalarValue,"",n,n,y,"","",""
