fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vCoordinates,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vCoordinates,Locality Information,"",TRS,localityGroupList > localityGroup,vCoordinates,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vOtherCoords,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vOtherCoords,Locality Information,"",Other coords,localityGroupList > localityGroup,vOtherCoords,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vCoordSys,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vCoordSys,Locality Information,"",Other coords system,localityGroupList > localityGroup,vCoordSys,string,n,n,y,vocabulary: vcoordsys,"",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension decimalLatitude,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.decimalLatitude,Locality Information,"",Decimal latitude,localityGroupList > localityGroup,decimalLatitude,float,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension decimalLongitude,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.decimalLongitude,Locality Information,"",Decimal longitude,localityGroupList > localityGroup,decimalLongitude,float,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension geodeticDatum,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.geodeticDatum,Locality Information,"",Datum,localityGroupList > localityGroup,geodeticDatum,string,n,n,y,option list: geodeticDatums,"ADG66, NAD27, NAD83, NAD83&amp;WGS84, Not Recorded, WGS84",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension coordUncertainty,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.coordUncertainty,Locality Information,"",Coord uncertainty,localityGroupList > localityGroup,coordUncertainty,float,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension coordUncertaintyUnit,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.coordUncertaintyUnit,Locality Information,"",Coord uncertainty unit,localityGroupList > localityGroup,coordUncertaintyUnit,string,n,n,y,option list: coordUncertaintyUnits,"feet, kilometers, meters, miles, unknown",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vDepth,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vDepth,Locality Information,Depth,Depth verbatim,localityGroupList > localityGroup,vDepth,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension minDepth,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.minDepth,Locality Information,Depth,Depth min,localityGroupList > localityGroup,minDepth,float,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension maxDepth,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.maxDepth,Locality Information,Depth,Depth max,localityGroupList > localityGroup,maxDepth,float,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension depthUnit,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.depthUnit,Locality Information,Depth,Depth unit,localityGroupList > localityGroup,depthUnit,string,n,n,y,option list: depthUnits,"centimeters, fathoms, feet, furlongs, inches, kilometers, meters, miles, rods, uncertain",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vElevation,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vElevation,Locality Information,Elevation,Elevation verbatim,localityGroupList > localityGroup,vElevation,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension minElevation,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.minElevation,Locality Information,Elevation,Elevation min,localityGroupList > localityGroup,minElevation,float,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension maxElevation,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.maxElevation,Locality Information,Elevation,Elevation max,localityGroupList > localityGroup,maxElevation,float,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension elevationUnit,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.elevationUnit,Locality Information,Elevation,Elevation unit,localityGroupList > localityGroup,elevationUnit,string,n,n,y,option list: elevationUnits,"feet, meters, uncertain",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension vDistanceAboveSurface,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.vDistanceAboveSurface,Locality Information,Distance above surface,Distance above surface verbatim,localityGroupList > localityGroup,vDistanceAboveSurface,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension minDistanceAboveSurface,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.minDistanceAboveSurface,Locality Information,Distance above surface,Distance above surface min,localityGroupList > localityGroup,minDistanceAboveSurface,float,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension maxDistanceAboveSurface,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.maxDistanceAboveSurface,Locality Information,Distance above surface,Distance above surface max,localityGroupList > localityGroup,maxDistanceAboveSurface,float,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension distanceAboveSurfaceUnit,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.distanceAboveSurfaceUnit,Locality Information,Distance above surface,Distance above surface unit,localityGroupList > localityGroup,distanceAboveSurfaceUnit,string,n,n,y,option list: distanceAboveSurfaceUnits,"centimeters, fathoms, feet, furlongs, inches, kilometers, meters, miles, rods, uncertain",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension localityNote,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.localityNote,Locality Information,"",Locality note,localityGroupList > localityGroup,localityNote,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension localitySource,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.localitySource,Locality Information,"",Locality source,localityGroupList > localityGroup,localitySource,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension localitySourceDetail,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.localitySourceDetail,Locality Information,"",Locality source detail,localityGroupList > localityGroup,localitySourceDetail,string,n,n,y,"","",not in bonsai_5-0-2
botgarden_3-0-2 ns2:collectionobjects_naturalhistory_extension pointRadiusSpatialFit,botgarden_3-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.locality,ext.locality.pointRadiusSpatialFit,Locality Information,Georeference Detail,Pt. radius sp. fit,localityGroupList > localityGroup,pointRadiusSpatialFit,string,n,n,y,"","",not in bonsai_5-0-2
