fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
core_7-2-0 citation ns2:citations_common publicationPlace,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationPlace,Citation Information,Publication,Publication place,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationPlace,string,n,n,y,authority: place/local; authority: place/tgn,""
core_7-2-0 citation ns2:citations_common publicationDate,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationDate,Citation Information,Publication,Publication date,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationDate,structured date group,n,n,y,"",""
core_7-2-0 citation ns2:citations_common edition,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.edition,Citation Information,Publication,Publication edition,citationPublicationInfoGroupList > citationPublicationInfoGroup,edition,string,n,n,y,"",""
core_7-2-0 citation ns2:citations_common pages,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.pages,Citation Information,Publication,Publication page(s),citationPublicationInfoGroupList > citationPublicationInfoGroup,pages,string,n,n,y,"",""
core_7-2-0 citation ns2:citations_common agent,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.agent,Citation Information,Agent,Agent name,citationAgentInfoGroupList > citationAgentInfoGroup,agent,string,n,n,y,authority: person/local; authority: person/ulan; authority: organization/local,""
core_7-2-0 citation ns2:citations_common role,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.role,Citation Information,Agent,Agent role,citationAgentInfoGroupList > citationAgentInfoGroup,role,string,n,n,y,vocabulary: agentinfotype,""
core_7-2-0 citation ns2:citations_common note,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.note,Citation Information,Agent,Agent note,citationAgentInfoGroupList > citationAgentInfoGroup,note,string,n,n,y,"",""
core_7-2-0 citation ns2:citations_common citationNote,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.citationNote,Citation Information,"",Note,"",citationNote,string,n,n,n/a,"",""
core_7-2-0 citation ns2:citations_common resourceIdent,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.resourceIdent,Citation Information,Resource identifier,Resource identifier,citationResourceIdentGroupList > citationResourceIdentGroup,resourceIdent,string,n,n,y,"",""
core_7-2-0 citation ns2:citations_common type,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.type,Citation Information,Resource identifier,Resource identifier type,citationResourceIdentGroupList > citationResourceIdentGroup,type,string,n,n,y,vocabulary: resourceidtype,""
core_7-2-0 citation ns2:citations_common captureDate,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.captureDate,Citation Information,Resource identifier,Resource identifier capture date,citationResourceIdentGroupList > citationResourceIdentGroup,captureDate,structured date group,n,n,y,"",""
core_7-2-0 citation ns2:citations_common relatedTerm,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.relatedTerm,Citation Information,Related term,Related term,citationRelatedTermsGroupList > citationRelatedTermsGroup,relatedTerm,string,n,n,y,authority: concept/associated; authority: concept/activity; authority: concept/material,""
core_7-2-0 citation ns2:citations_common relationType,core_7-2-0,citation,ns2:citations_common,ns2:citations_common,citations_common.relationType,Citation Information,Related term,Related term type,citationRelatedTermsGroupList > citationRelatedTermsGroup,relationType,string,n,n,y,vocabulary: relationtypetype,""
core_7-2-0 chronology ns2:chronologies_common termDisplayName,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termDisplayName,Chronology Information,Term,Term display name,chronologyTermGroupList > chronologyTermGroup,termDisplayName,string,y,n,y,"",""
core_7-2-0 chronology ns2:chronologies_common termName,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termName,Chronology Information,Term,Term name,chronologyTermGroupList > chronologyTermGroup,termName,string,n,n,y,"",""
core_7-2-0 chronology ns2:chronologies_common termQualifier,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termQualifier,Chronology Information,Term,Term qualifier,chronologyTermGroupList > chronologyTermGroup,termQualifier,string,n,n,y,"",""
core_7-2-0 chronology ns2:chronologies_common termStatus,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termStatus,Chronology Information,Term,Term status,chronologyTermGroupList > chronologyTermGroup,termStatus,string,n,n,y,vocabulary: chronologytermstatus,""
core_7-2-0 chronology ns2:chronologies_common termType,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termType,Chronology Information,Term,Term type,chronologyTermGroupList > chronologyTermGroup,termType,string,n,n,y,vocabulary: chronologytermtype,""
core_7-2-0 chronology ns2:chronologies_common termFlag,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termFlag,Chronology Information,Term,Term flag,chronologyTermGroupList > chronologyTermGroup,termFlag,string,n,n,y,vocabulary: chronologytermflag,""
core_7-2-0 chronology ns2:chronologies_common historicalStatus,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.historicalStatus,Chronology Information,Term,Term historical status,chronologyTermGroupList > chronologyTermGroup,historicalStatus,string,n,n,y,vocabulary: chronologyhistoricalstatus,""
core_7-2-0 chronology ns2:chronologies_common termLanguage,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termLanguage,Chronology Information,Term,Term language,chronologyTermGroupList > chronologyTermGroup,termLanguage,string,n,n,y,vocabulary: languages,""
core_7-2-0 chronology ns2:chronologies_common termPrefForLang,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termPrefForLang,Chronology Information,Term,Term preferred for lang,chronologyTermGroupList > chronologyTermGroup,termPrefForLang,boolean,n,n,y,"",""
core_7-2-0 chronology ns2:chronologies_common termSource,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSource,Chronology Information,Term > Source,Term source name,chronologyTermGroupList > chronologyTermGroup,termSource,string,n,n,y,authority: citation/local; authority: citation/worldcat,""
core_7-2-0 chronology ns2:chronologies_common termSourceDetail,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceDetail,Chronology Information,Term > Source,Term source detail,chronologyTermGroupList > chronologyTermGroup,termSourceDetail,string,n,n,y,"",""
core_7-2-0 chronology ns2:chronologies_common termSourceID,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceID,Chronology Information,Term > Source,Term source ID,chronologyTermGroupList > chronologyTermGroup,termSourceID,string,n,n,y,"",""
core_7-2-0 chronology ns2:chronologies_common termSourceNote,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceNote,Chronology Information,Term > Source,Term source note,chronologyTermGroupList > chronologyTermGroup,termSourceNote,string,n,n,y,"",""
core_7-2-0 chronology ns2:chronologies_common primaryDateRangeStructuredDateGroup,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.primaryDateRangeStructuredDateGroup,Chronology Information,"",Primary date range,"",primaryDateRangeStructuredDateGroup,structured date group,n,n,n/a,"",""
core_7-2-0 chronology ns2:chronologies_common chronologyType,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyType,Chronology Information,"",Chronology type,"",chronologyType,string,n,n,n/a,vocabulary: chronologytypes,""
core_7-2-0 chronology ns2:chronologies_common spatialCoverage,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.spatialCoverage,Chronology Information,"",Spatial coverage,spatialCoverages,spatialCoverage,string,n,y,n,authority: place/local; authority: place/tgn,""
core_7-2-0 chronology ns2:chronologies_common chronologyDescription,core_7-2-0,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyDescription,Chronology Information,"",Chronology description,"",chronologyDescription,string,n,n,n/a,"",""
