fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
materials_3-0-6 chronology ns2:chronologies_common termPrefForLang,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termPrefForLang,Chronology Information,Term,Term preferred for lang,chronologyTermGroupList > chronologyTermGroup,termPrefForLang,boolean,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common termSource,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSource,Chronology Information,Term > Source,Term source name,chronologyTermGroupList > chronologyTermGroup,termSource,string,n,n,y,authority: citation/local,""
materials_3-0-6 chronology ns2:chronologies_common termSourceDetail,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceDetail,Chronology Information,Term > Source,Term source detail,chronologyTermGroupList > chronologyTermGroup,termSourceDetail,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common termSourceID,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceID,Chronology Information,Term > Source,Term source ID,chronologyTermGroupList > chronologyTermGroup,termSourceID,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common termSourceNote,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.termSourceNote,Chronology Information,Term > Source,Term source note,chronologyTermGroupList > chronologyTermGroup,termSourceNote,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common chronologyDateStructuredDateGroup,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyDateStructuredDateGroup,Chronology Information,"",Primary date range,"",chronologyDateStructuredDateGroup,structured date group,n,n,n/a,"",""
materials_3-0-6 chronology ns2:chronologies_common chronologyType,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyType,Chronology Information,"",Chronology type,"",chronologyType,string,n,n,n/a,vocabulary: chronologytypes,""
materials_3-0-6 chronology ns2:chronologies_common chronologyPlace,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyPlace,Chronology Information,Spatial coverage,"",chronologyPlaces,chronologyPlace,string,n,y,n,authority: place/local,""
materials_3-0-6 chronology ns2:chronologies_common chronologyDescription,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyDescription,Chronology Information,"",Chronology description,"",chronologyDescription,string,n,n,n/a,"",""
materials_3-0-6 chronology ns2:chronologies_common chronologyNote,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.chronologyNote,Chronology Information,"",Chronology note,"",chronologyNote,string,n,n,n/a,"",""
materials_3-0-6 chronology ns2:chronologies_common identifierValue,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierValue,Chronology Information,Resource identifier,Resource identifier value,identifierGroupList > identifierGroup,identifierValue,string,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common identifierCitation,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierCitation,Chronology Information,Resource identifier,Resource identifier citation,identifierGroupList > identifierGroup,identifierCitation,string,n,n,y,authority: citation/local,""
materials_3-0-6 chronology ns2:chronologies_common identifierDate,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.identifierDate,Chronology Information,Resource identifier,Resource identifier date,identifierGroupList > identifierGroup,identifierDate,date,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common person,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.person,Associated Authorities,Person,Person associated,personGroupList > personGroup,person,string,n,n,y,authority: person/local,""
materials_3-0-6 chronology ns2:chronologies_common personType,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.personType,Associated Authorities,Person,Person relationship/type,personGroupList > personGroup,personType,string,n,n,y,vocabulary: chronologypersonrelations,""
materials_3-0-6 chronology ns2:chronologies_common personStructuredDateGroup,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.personStructuredDateGroup,Associated Authorities,Person,Person date,personGroupList > personGroup,personStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6 chronology ns2:chronologies_common personCitation,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.personCitation,Associated Authorities,Person,Person citation,personGroupList > personGroup > personCitations,personCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6 chronology ns2:chronologies_common personNote,materials_3-0-6,chronology,ns2:chronologies_common,ns2:chronologies_common,chronologies_common.personNote,Associated Authorities,Person,Person note,personGroupList > personGroup,personNote,string,n,n,y,"",""
