fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateEarliestSingleDay,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateEarliestSingleDay,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Earliest/single day,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateEarliestSingleDay,integer,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateEarliestSingleEra,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateEarliestSingleEra,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Earliest/single era,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateEarliestSingleEra,string,n,n,as part of larger repeating group,vocabulary: dateera,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateEarliestSingleCertainty,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateEarliestSingleCertainty,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Earliest/single certainty,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateEarliestSingleCertainty,string,n,n,as part of larger repeating group,vocabulary: datecertainty,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateEarliestSingleQualifier,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifier,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Earliest/single qualifier,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateEarliestSingleQualifier,string,n,n,as part of larger repeating group,option list: dateQualifiers,", +, +/-, -",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateEarliestSingleQualifierValue,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierValue,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Earliest/single qualifier value,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateEarliestSingleQualifierValue,integer,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateEarliestSingleQualifierUnit,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateEarliestSingleQualifierUnit,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Earliest/single qualifier unit,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateEarliestSingleQualifierUnit,string,n,n,as part of larger repeating group,vocabulary: datequalifier,"",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateLatestYear,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateLatestYear,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Latest year,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateLatestYear,integer,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateLatestMonth,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateLatestMonth,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Latest month,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateLatestMonth,integer,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateLatestDay,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateLatestDay,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Latest day,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateLatestDay,integer,n,n,as part of larger repeating group,"","",not in core_7-1-0
herbarium_2-0-2 ns2:collectionobjects_naturalhistory_extension dateLatestEra,herbarium_2-0-2,collectionobject,ns2:collectionobjects_naturalhistory_extension,ext.structuredDate,ext.structuredDate.dateLatestEra,Object Identification Information,Determination history > Identification by > Taxonomic identification date,Latest era,determinationHistoryGroupList > determinationHistoryGroup > determinationDateGroup,dateLatestEra,string,n,n,as part of larger repeating group,vocabulary: dateera,"",not in core_7-1-0
