profile,record_type,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
materials_3-0-6,chronology,Associated Authorities,Related period,Related period note,relatedPeriodGroupList > relatedPeriodGroup,relatedPeriodNote,string,n,n,y,"",""
materials_3-0-6,chronology,Alternative Date Information,Alternative date,Alternative date range,otherDateGroupList > otherDateGroup,otherDateStructuredDateGroup,structured date group,n,n,y,"",""
materials_3-0-6,chronology,Alternative Date Information,Alternative date,Alternative date spacial coverage,otherDateGroupList > otherDateGroup > otherDatePlaces,otherDatePlace,string,n,y,as part of larger repeating group,authority: place/local,""
materials_3-0-6,chronology,Alternative Date Information,Alternative date,Alternative date citation,otherDateGroupList > otherDateGroup > otherDateCitations,otherDateCitation,string,n,y,as part of larger repeating group,authority: citation/local,""
materials_3-0-6,chronology,Alternative Date Information,Alternative date,Alternative date note,otherDateGroupList > otherDateGroup,otherDateNote,string,n,n,y,"",""
materials_3-0-6,collectionobject,Object Identification Information,"",Accession number,"",objectNumber,string,y,n,n/a,"",""
materials_3-0-6,collectionobject,Object Identification Information,"",Number of objects,"",numberOfObjects,integer,n,n,n/a,"",""
materials_3-0-6,collectionobject,Object Identification Information,Other number,Other number value,otherNumberList > otherNumber,numberValue,string,n,n,y,"",""
materials_3-0-6,collectionobject,Object Identification Information,Other number,Other number type,otherNumberList > otherNumber,numberType,string,n,n,y,option list: numberTypes,"QR code, barcode, callnumber, lender, obsolete, previous, serial, unknown"
materials_3-0-6,collectionobject,Object Identification Information,"",Collection,"",collection,string,n,n,n/a,option list: collections,"circulating, non_circulating"
materials_3-0-6,collectionobject,Object Identification Information,"",Named collection,namedCollections,namedCollection,string,n,y,n,authority: work/local,""
materials_3-0-6,collectionobject,Object Identification Information,"",Record status,"",recordStatus,string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary"
materials_3-0-6,collectionobject,Object Identification Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,""
materials_3-0-6,collectionobject,Object Identification Information,"",Inventory status,inventoryStatusList,inventoryStatus,string,n,y,n,vocabulary: inventorystatus,""
materials_3-0-6,collectionobject,Object Identification Information,"",Production description,briefDescriptions,briefDescription,string,n,y,n,"",""
materials_3-0-6,collectionobject,Object Identification Information,Material,Material,materialGroupList > materialGroup,material,string,n,n,y,authority: material/local; authority: material/shared,""
materials_3-0-6,collectionobject,Object Identification Information,Handling,Handling,materialHandlingGroupList > materialHandlingGroup,handling,string,n,n,y,vocabulary: materialhandling,""
materials_3-0-6,collectionobject,Object Identification Information,Handling,Handling note,materialHandlingGroupList > materialHandlingGroup,handlingNote,string,n,n,y,"",""
