fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values,diff info
fcart_5-0-3 ns2:collectionobjects_common format,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.format,Technical Specifications: Audio/Video/Still,Format,Format name,avFormatGroupList > avFormatGroup,format,string,n,n,y,vocabulary: formats,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common numberOfChannels,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.numberOfChannels,Technical Specifications: Audio/Video/Still,AV channel,AV channel number of associated channels,avChannelGroupList > avChannelGroup,numberOfChannels,integer,n,n,y,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common channelType,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.channelType,Technical Specifications: Audio/Video/Still,AV channel,AV channel type,avChannelGroupList > avChannelGroup,channelType,string,n,n,y,vocabulary: formattypenames,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common channelLayout,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.channelLayout,Technical Specifications: Audio/Video/Still,"",Channel layout,"",channelLayout,string,n,n,n/a,"","",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common fileCodec,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fileCodec,Technical Specifications: Audio/Video/Still,File codec,File codec name,fileCodecGroupList > fileCodecGroup,fileCodec,string,n,n,y,vocabulary: filecodecs,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common compressionStandard,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.compressionStandard,Technical Specifications: Audio/Video/Still,File codec,field.collectionobjects_common.compressionStandard,fileCodecGroupList > fileCodecGroup,compressionStandard,string,n,n,y,vocabulary: compressionstandards,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common fileContainer,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.fileContainer,Technical Specifications: Audio/Video/Still,File codec,File codec container,fileCodecGroupList > fileCodecGroup,fileContainer,string,n,n,y,vocabulary: filecontainers,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common audioType,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.audioType,Technical Specifications: Audio/Video/Still,"",Audio type,"",audioType,string,n,n,n/a,vocabulary: audiotypes,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common audioPreferences,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.audioPreferences,Technical Specifications: Audio/Video/Still,"",Audio preference,"",audioPreferences,string,n,n,n/a,vocabulary: audiopreferences,"",not in fcart_4-0-0
fcart_5-0-3 ns2:collectionobjects_common chromaSubsampling,fcart_5-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.chromaSubsampling,Technical Specifications: Audio/Video/Still,"",Chroma subsampling,"",chromaSubsampling,string,n,n,n/a,vocabulary: chromasubsampling,"",not in fcart_4-0-0
