profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
core_9-0-0,Chronology,Chronology note,Chronology Information,"",string,n,n,n/a,"","","",chronology,chronologyNote
core_9-0-0,Chronology,Resource identifier value,Chronology Information,"",string,n,n,y,"","","",chronology,identifierValue
core_9-0-0,Chronology,Resource identifier citation,Chronology Information,"",string,n,n,y,authority,citation/local; citation/worldcat,"",chronology,identifierCitation
core_9-0-0,Chronology,Resource identifier date,Chronology Information,"",date,n,n,y,"","","",chronology,identifierDate
core_9-0-0,Chronology,Alternative date range,Alternative Date Information,"",structured date group,n,n,y,"","","",chronology,altDateRangeStructuredDateGroup
core_9-0-0,Chronology,Alternative date spatial coverage,Alternative Date Information,"",string,n,y,as part of larger repeating group,authority,place/local; place/tgn,"",chronology,altDateSpatialCoverage
core_9-0-0,Chronology,Alternative date citation,Alternative Date Information,"",string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,"",chronology,altDateCitation
core_9-0-0,Chronology,Alternative date note,Alternative Date Information,"",string,n,n,y,"","","",chronology,altDateNote
core_9-0-0,Chronology,Associated person,Associated Authorities,"",string,n,n,y,authority,person/local; person/ulan,"",chronology,assocPerson
core_9-0-0,Chronology,Associated person relationship/type,Associated Authorities,"",string,n,n,y,vocabulary,assocauthorityrelationtype,"",chronology,assocPersonType
core_9-0-0,Chronology,Associated person date,Associated Authorities,"",structured date group,n,n,y,"","","",chronology,assocPersonStructuredDateGroup
core_9-0-0,Chronology,Associated person citation,Associated Authorities,"",string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,"",chronology,assocPersonCitation
core_9-0-0,Chronology,Associated person note,Associated Authorities,"",string,n,n,y,"","","",chronology,assocPersonNote
core_9-0-0,Chronology,Associated people,Associated Authorities,"",string,n,n,y,authority,concept/associated,"",chronology,assocPeople
core_9-0-0,Chronology,Associated people relationship/type,Associated Authorities,"",string,n,n,y,vocabulary,assocauthorityrelationtype,"",chronology,assocPeopleType
core_9-0-0,Chronology,Associated people date,Associated Authorities,"",structured date group,n,n,y,"","","",chronology,assocPeopleStructuredDateGroup
core_9-0-0,Chronology,Associated people citation,Associated Authorities,"",string,n,y,as part of larger repeating group,authority,citation/local; citation/worldcat,"",chronology,assocPeopleCitation
core_9-0-0,Chronology,Associated people note,Associated Authorities,"",string,n,n,y,"","","",chronology,assocPeopleNote
