profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,repeats,group_repeats,data_source_type,data_source_name
core_9-0-0,Intake,intake,Condition Check Information,"",Condition check assessor,conditionCheckerOrAssessor,ns2:intakes_common.conditionCheckerOrAssessor,conditionCheckerOrAssessorPersonLocal; conditionCheckerOrAssessorOrganizationLocal; conditionCheckerOrAssessorRefname,y,n,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Iteration Report,iterationreport,Iteration Information,"",Iteration creator/supervisor name,iterationCreator,ns2:iterationreports_common.iterationCreator,iterationCreatorPersonLocal; iterationCreatorOrganizationLocal; iterationCreatorRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Iteration Report,iterationreport,Space Information,"","Space, as installed approval entity",approvalEntity,ns2:iterationreports_common.approvalEntity,approvalEntityPersonLocal; approvalEntityOrganizationLocal; approvalEntityRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Iteration Report,iterationreport,Iteration Details,"",Exhibition approval entity,exhibitionApprovalEntity,ns2:iterationreports_common.exhibitionApprovalEntity,exhibitionApprovalEntityPersonLocal; exhibitionApprovalEntityOrganizationLocal; exhibitionApprovalEntityRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Iteration Report,iterationreport,Iteration Details,"",Installed equipment approval entity,installedEquipmentApprovalEntity,ns2:iterationreports_common.installedEquipmentApprovalEntity,installedEquipmentApprovalEntityPersonLocal; installedEquipmentApprovalEntityOrganizationLocal; installedEquipmentApprovalEntityRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Iteration Report,iterationreport,Iteration Details,"",Technical setup approval entity,technicalSetupApprovalEntity,ns2:iterationreports_common.technicalSetupApprovalEntity,technicalSetupApprovalEntityPersonLocal; technicalSetupApprovalEntityOrganizationLocal; technicalSetupApprovalEntityRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Iteration Report,iterationreport,Iteration Details,"",Iteration-specific modification approval entity,modificationApprovalEntity,ns2:iterationreports_common.modificationApprovalEntity,modificationApprovalEntityPersonLocal; modificationApprovalEntityOrganizationLocal; modificationApprovalEntityRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Iteration Report,iterationreport,Iteration Details,"",Further installation detail approval entity,installationApprovalEntity,ns2:iterationreports_common.installationApprovalEntity,installationApprovalEntityPersonLocal; installationApprovalEntityOrganizationLocal; installationApprovalEntityRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Iteration Report,iterationreport,Iteration Details,"",Security approval entity,securityApprovalEntity,ns2:iterationreports_common.securityApprovalEntity,securityApprovalEntityPersonLocal; securityApprovalEntityOrganizationLocal; securityApprovalEntityRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Loan In,loanin,Loan In Information,"",Lender name,lender,ns2:loansin_common.lender,lenderPersonLocal; lenderOrganizationLocal; lenderRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Storage Location,location,Storage Location Information,Source,Term source name,termSource,ns2:locations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
core_9-0-0,Media Handling,media,Media Handling Information,"",Measured by,measuredBy,ns2:media_common.measuredBy,measuredByPersonLocal; measuredByOrganizationLocal; measuredByRefname,n,y,authority; refname,person/local; organization/local; authority refname
core_9-0-0,Organization,organization,Organization Information,Source,Term source name,termSource,ns2:organizations_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
core_9-0-0,Person,person,Person Information,Source,Term source name,termSource,ns2:persons_common.termSource,termSourceCitationLocal; termSourceCitationWorldcat; termSourceRefname,n,y,authority; refname,citation/local; citation/worldcat; authority refname
