fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,dumbfieldname,new?
core acquisition ns2:acquisitions_common creditLine,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.creditLine,Acquisition Information,"",Credit line,"",creditLine,string,n,n,n/a,"","","",acquisition creditLine,""
core acquisition ns2:acquisitions_common fieldCollectionEventName,core,acquisition,ns2:acquisitions_common,ns2:acquisitions_common,acquisitions_common.fieldCollectionEventName,Object Collection Information,"",Field collection event name,fieldCollectionEventNames,fieldCollectionEventName,string,n,y,n,"","","",acquisition fieldCollectionEventName,""
core citation ns2:citations_common termDisplayName,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termDisplayName,Citation Information,"",Term display name,citationTermGroupList > citationTermGroup,termDisplayName,string,y,n,y,"","","",citation termDisplayName,""
core citation ns2:citations_common termStatus,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termStatus,Citation Information,"",Term status,citationTermGroupList > citationTermGroup,termStatus,string,n,n,y,option list,citationTermStatuses,"accepted, provisional, rejected, under review",citation termStatus,""
core citation ns2:citations_common termType,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termType,Citation Information,"",Term type,citationTermGroupList > citationTermGroup,termType,string,n,n,y,vocabulary,citationtermtype,"",citation termType,""
core citation ns2:citations_common termFlag,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termFlag,Citation Information,"",Term flag,citationTermGroupList > citationTermGroup,termFlag,string,n,n,y,vocabulary,citationtermflag,"",citation termFlag,""
core citation ns2:citations_common termLanguage,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termLanguage,Citation Information,"",Term language,citationTermGroupList > citationTermGroup,termLanguage,string,n,n,y,vocabulary,languages,"",citation termLanguage,""
core citation ns2:citations_common termPrefForLang,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termPrefForLang,Citation Information,"",Term preferred for lang,citationTermGroupList > citationTermGroup,termPrefForLang,boolean,n,n,y,"","","",citation termPrefForLang,""
core citation ns2:citations_common termFullCitation,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termFullCitation,Citation Information,"",Term full citation,citationTermGroupList > citationTermGroup,termFullCitation,string,n,n,y,"","","",citation termFullCitation,""
core citation ns2:citations_common termTitle,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termTitle,Citation Information,"",Term title,citationTermGroupList > citationTermGroup,termTitle,string,n,n,y,"","","",citation termTitle,""
core citation ns2:citations_common termSubTitle,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSubTitle,Citation Information,"",Term subtitle,citationTermGroupList > citationTermGroup,termSubTitle,string,n,n,y,"","","",citation termSubTitle,""
core citation ns2:citations_common termSectionTitle,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSectionTitle,Citation Information,"",Term section title,citationTermGroupList > citationTermGroup,termSectionTitle,string,n,n,y,"","","",citation termSectionTitle,""
core citation ns2:citations_common termVolume,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termVolume,Citation Information,"",Term volume,citationTermGroupList > citationTermGroup,termVolume,string,n,n,y,"","","",citation termVolume,""
core citation ns2:citations_common termIssue,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termIssue,Citation Information,"",Term issue,citationTermGroupList > citationTermGroup,termIssue,string,n,n,y,"","","",citation termIssue,""
core citation ns2:citations_common termSource,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSource,Citation Information,"",Term source name,citationTermGroupList > citationTermGroup,termSource,string,n,n,y,authority,citation/local; citation/worldcat,"",citation termSource,""
core citation ns2:citations_common termSourceDetail,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceDetail,Citation Information,"",Term source detail,citationTermGroupList > citationTermGroup,termSourceDetail,string,n,n,y,"","","",citation termSourceDetail,""
core citation ns2:citations_common termSourceID,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceID,Citation Information,"",Term source ID,citationTermGroupList > citationTermGroup,termSourceID,string,n,n,y,"","","",citation termSourceID,""
core citation ns2:citations_common termSourceNote,core,citation,ns2:citations_common,ns2:citations_common,citations_common.termSourceNote,Citation Information,"",Term source note,citationTermGroupList > citationTermGroup,termSourceNote,string,n,n,y,"","","",citation termSourceNote,""
core citation ns2:citations_common publisher,core,citation,ns2:citations_common,ns2:citations_common,citations_common.publisher,Citation Information,"",Publisher,citationPublicationInfoGroupList > citationPublicationInfoGroup,publisher,string,n,n,y,authority,organization/local,"",citation publisher,""
core citation ns2:citations_common publicationPlace,core,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationPlace,Citation Information,"",Publication place,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationPlace,string,n,n,y,authority,place/local; place/tgn,"",citation publicationPlace,""
core citation ns2:citations_common publicationDate,core,citation,ns2:citations_common,ns2:citations_common,citations_common.publicationDate,Citation Information,"",Publication date,citationPublicationInfoGroupList > citationPublicationInfoGroup,publicationDate,structured date group,n,n,y,"","","",citation publicationDate,""
core citation ns2:citations_common edition,core,citation,ns2:citations_common,ns2:citations_common,citations_common.edition,Citation Information,"",Publication edition,citationPublicationInfoGroupList > citationPublicationInfoGroup,edition,string,n,n,y,"","","",citation edition,""
core citation ns2:citations_common pages,core,citation,ns2:citations_common,ns2:citations_common,citations_common.pages,Citation Information,"",Publication page(s),citationPublicationInfoGroupList > citationPublicationInfoGroup,pages,string,n,n,y,"","","",citation pages,""
core citation ns2:citations_common agent,core,citation,ns2:citations_common,ns2:citations_common,citations_common.agent,Citation Information,"",Agent name,citationAgentInfoGroupList > citationAgentInfoGroup,agent,string,n,n,y,authority,person/local; person/ulan; organization/local,"",citation agent,""
core citation ns2:citations_common role,core,citation,ns2:citations_common,ns2:citations_common,citations_common.role,Citation Information,"",Agent role,citationAgentInfoGroupList > citationAgentInfoGroup,role,string,n,n,y,vocabulary,agentinfotype,"",citation role,""
core citation ns2:citations_common note,core,citation,ns2:citations_common,ns2:citations_common,citations_common.note,Citation Information,"",Agent note,citationAgentInfoGroupList > citationAgentInfoGroup,note,string,n,n,y,"","","",citation note,""
core citation ns2:citations_common citationNote,core,citation,ns2:citations_common,ns2:citations_common,citations_common.citationNote,Citation Information,"",Note,"",citationNote,string,n,n,n/a,"","","",citation citationNote,""
core citation ns2:citations_common resourceIdent,core,citation,ns2:citations_common,ns2:citations_common,citations_common.resourceIdent,Citation Information,"",Resource identifier,citationResourceIdentGroupList > citationResourceIdentGroup,resourceIdent,string,n,n,y,"","","",citation resourceIdent,""
