fid,profile,record_type,namespace,namespace_for_id,field_id,ui_info_group,ui_path,ui_field_label,xml_path,xml_field_name,data_type,required,repeats,group_repeats,data_source,option_list_values
publicart_4-0-3 ns2:collectionobjects_common numberOfObjects,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.numberOfObjects,Object Identification Information,"",Number of objects,"",numberOfObjects,integer,n,n,n/a,"",""
publicart_4-0-3 ns2:collectionobjects_common responsibleDepartment,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.responsibleDepartment,Object Identification Information,"",Program name,responsibleDepartments,responsibleDepartment,string,n,y,n,vocabulary: program,""
publicart_4-0-3 ns2:collectionobjects_publicart publicartCollection,publicart_4-0-3,collectionobject,ns2:collectionobjects_publicart,ns2:collectionobjects_publicart,collectionobjects_publicart.publicartCollection,Object Identification Information,"",Collection,publicartCollections,publicartCollection,string,n,y,n,authority: organization/local,""
publicart_4-0-3 ns2:collectionobjects_common recordStatus,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.recordStatus,Object Identification Information,"",Record status,"",recordStatus,string,n,n,n/a,option list: recordStatuses,"approved, in-process, new, temporary"
publicart_4-0-3 ns2:collectionobjects_common publishTo,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.publishTo,Object Identification Information,"",Publish to,publishToList,publishTo,string,n,y,n,vocabulary: publishto,""
publicart_4-0-3 ns2:collectionobjects_common inventoryStatus,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.inventoryStatus,Object Identification Information,"",Installation type,inventoryStatusList,inventoryStatus,string,n,y,n,vocabulary: inventorystatus,""
publicart_4-0-3 ns2:collectionobjects_common briefDescription,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.briefDescription,Object Identification Information,"",Artwork description,briefDescriptions,briefDescription,string,n,y,n,"",""
publicart_4-0-3 ns2:collectionobjects_common distinguishingFeatures,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.distinguishingFeatures,Object Identification Information,"",Distinguishing features,"",distinguishingFeatures,string,n,n,n/a,"",""
publicart_4-0-3 ns2:collectionobjects_common comment,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.comment,Object Identification Information,"",Comment,comments,comment,string,n,y,n,"",""
publicart_4-0-3 ns2:collectionobjects_common computedCurrentLocation,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.computedCurrentLocation,Object Identification Information,"",Computed current location,"",computedCurrentLocation,string,n,n,n/a,authority: location/local; authority: location/offsite; authority: organization/local,""
publicart_4-0-3 ns2:collectionobjects_annotation annotationType,publicart_4-0-3,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationType,Object Identification Information,Annotation,Annotation type,annotationGroupList > annotationGroup,annotationType,string,n,n,y,vocabulary: annotationtype,""
publicart_4-0-3 ns2:collectionobjects_annotation annotationNote,publicart_4-0-3,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationNote,Object Identification Information,Annotation,Annotation note,annotationGroupList > annotationGroup,annotationNote,string,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_annotation annotationDate,publicart_4-0-3,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationDate,Object Identification Information,Annotation,Annotation date,annotationGroupList > annotationGroup,annotationDate,date,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_annotation annotationAuthor,publicart_4-0-3,collectionobject,ns2:collectionobjects_annotation,ns2:collectionobjects_annotation,collectionobjects_annotation.annotationAuthor,Object Identification Information,Annotation,Annotation author,annotationGroupList > annotationGroup,annotationAuthor,string,n,n,y,authority: person/local,""
publicart_4-0-3 ns2:collectionobjects_common title,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.title,Object Identification Information,Title,Title,titleGroupList > titleGroup,title,string,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_common titleLanguage,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleLanguage,Object Identification Information,Title,Title language,titleGroupList > titleGroup,titleLanguage,string,n,n,y,vocabulary: languages,""
publicart_4-0-3 ns2:collectionobjects_common titleType,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleType,Object Identification Information,Title,Title type,titleGroupList > titleGroup,titleType,string,n,n,y,option list: titleTypes,"assigned-by-artist, cited, collection, generic, popular, series, trade"
publicart_4-0-3 ns2:collectionobjects_common titleTranslation,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslation,Object Identification Information,Title > Title translation,Title translation,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslation,string,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_common titleTranslationLanguage,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.titleTranslationLanguage,Object Identification Information,Title > Title translation,Title translation language,titleGroupList > titleGroup > titleTranslationSubGroupList > titleTranslationSubGroup,titleTranslationLanguage,string,n,n,y,vocabulary: languages,""
publicart_4-0-3 ns2:collectionobjects_common objectName,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectName,Object Identification Information,Work type,Work type,objectNameList > objectNameGroup,objectName,string,n,n,y,authority: concept/worktype,""
publicart_4-0-3 ns2:collectionobjects_common objectNameNote,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectNameNote,Object Identification Information,Work type,Work type note,objectNameList > objectNameGroup,objectNameNote,string,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_common owner,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.owner,Object Identification Information,Object Owner's Contribution Information,Owner,owners,owner,string,n,y,n,authority: person/local; authority: organization/local,""
publicart_4-0-3 ns2:collectionobjects_common material,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.material,Object Description Information,Material,Material,materialGroupList > materialGroup,material,string,n,n,y,authority: concept/material,""
publicart_4-0-3 ns2:collectionobjects_common materialComponentNote,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.materialComponentNote,Object Description Information,Material,Material note,materialGroupList > materialGroup,materialComponentNote,string,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_common measuredPart,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measuredPart,Object Description Information,"",Measured part,measuredPartGroupList > measuredPartGroup,measuredPart,string,n,n,y,option list: measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed"
publicart_4-0-3 ns2:collectionobjects_common dimensionSummary,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimensionSummary,Object Description Information,"",Dimension summary,measuredPartGroupList > measuredPartGroup,dimensionSummary,string,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_common dimension,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.dimension,Object Description Information,"",Measurement dimension,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,dimension,string,n,n,y,option list: dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width"
publicart_4-0-3 ns2:collectionobjects_common value,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.value,Object Description Information,"",Measurement value,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,value,float,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_common measurementUnit,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ext.dimension,ext.dimension.measurementUnit,Object Description Information,"",Measurement unit,measuredPartGroupList > measuredPartGroup > dimensionSubGroupList > dimensionSubGroup,measurementUnit,string,n,n,y,option list: measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons"
publicart_4-0-3 ns2:collectionobjects_common inscriptionContent,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.inscriptionContent,Object Description Information,Textual Inscription > Textual inscription,Textual inscription content,textualInscriptionGroupList > textualInscriptionGroup,inscriptionContent,string,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_common inscriptionContentInscriber,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.inscriptionContentInscriber,Object Description Information,Textual Inscription > Textual inscription,Textual inscription inscriber,textualInscriptionGroupList > textualInscriptionGroup,inscriptionContentInscriber,string,n,n,y,authority: person/local; authority: organization/local,""
publicart_4-0-3 ns2:collectionobjects_common inscriptionContentPosition,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.inscriptionContentPosition,Object Description Information,Textual Inscription > Textual inscription,Textual inscription position,textualInscriptionGroupList > textualInscriptionGroup,inscriptionContentPosition,string,n,n,y,option list: positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso"
publicart_4-0-3 ns2:collectionobjects_common inscriptionContentType,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.inscriptionContentType,Object Description Information,Textual Inscription > Textual inscription,Textual inscription type,textualInscriptionGroupList > textualInscriptionGroup,inscriptionContentType,string,n,n,y,option list: inscriptionTypes,"brand, credits, decoration, estate-stamp, graffiti, label, maker's-mark, plaque, signage"
publicart_4-0-3 ns2:collectionobjects_publicart publicartProductionDate,publicart_4-0-3,collectionobject,ns2:collectionobjects_publicart,ns2:collectionobjects_publicart,collectionobjects_publicart.publicartProductionDate,Object Production Information,Artwork date,Artwork date,publicartProductionDateGroupList > publicartProductionDateGroup,publicartProductionDate,structured date group,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_publicart publicartProductionDateType,publicart_4-0-3,collectionobject,ns2:collectionobjects_publicart,ns2:collectionobjects_publicart,collectionobjects_publicart.publicartProductionDateType,Object Production Information,Artwork date,Artwork date type,publicartProductionDateGroupList > publicartProductionDateGroup,publicartProductionDateType,string,n,n,y,vocabulary: proddatetype,""
publicart_4-0-3 ns2:collectionobjects_publicart publicartProductionPerson,publicart_4-0-3,collectionobject,ns2:collectionobjects_publicart,ns2:collectionobjects_publicart,collectionobjects_publicart.publicartProductionPerson,Object Production Information,Artwork creator,Artwork creator name,publicartProductionPersonGroupList > publicartProductionPersonGroup,publicartProductionPerson,string,n,n,y,authority: person/local; authority: organization/local,""
publicart_4-0-3 ns2:collectionobjects_publicart publicartProductionPersonRole,publicart_4-0-3,collectionobject,ns2:collectionobjects_publicart,ns2:collectionobjects_publicart,collectionobjects_publicart.publicartProductionPersonRole,Object Production Information,Artwork creator,Artwork creator role,publicartProductionPersonGroupList > publicartProductionPersonGroup,publicartProductionPersonRole,string,n,n,y,vocabulary: prodpersonrole,""
publicart_4-0-3 ns2:collectionobjects_publicart publicartProductionPersonType,publicart_4-0-3,collectionobject,ns2:collectionobjects_publicart,ns2:collectionobjects_publicart,collectionobjects_publicart.publicartProductionPersonType,Object Production Information,Artwork creator,Artwork creator type,publicartProductionPersonGroupList > publicartProductionPersonGroup,publicartProductionPersonType,string,n,n,y,option list: creatorTypes,"culture, organization, person"
publicart_4-0-3 ns2:collectionobjects_common objectProductionNote,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.objectProductionNote,Object Production Information,"",Production note,"",objectProductionNote,string,n,n,n/a,"",""
publicart_4-0-3 ns2:collectionobjects_common rightType,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightType,Rights Management Information,"",Right type,rightsGroupList > rightsGroup,rightType,string,n,n,y,vocabulary: rightstype,""
publicart_4-0-3 ns2:collectionobjects_common rightBeginDate,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightBeginDate,Rights Management Information,"",Right begin date,rightsGroupList > rightsGroup,rightBeginDate,date,n,n,y,"",""
publicart_4-0-3 ns2:collectionobjects_common rightEndDate,publicart_4-0-3,collectionobject,ns2:collectionobjects_common,ns2:collectionobjects_common,collectionobjects_common.rightEndDate,Rights Management Information,"",Right end date,rightsGroupList > rightsGroup,rightEndDate,date,n,n,y,"",""
