"profile","record_type","ui_info_group","ui_path","ui_field_label","xml_path","xml_field_name","data_type","required","repeats","group_repeats"
"publicart_4-0-3","objectexit","Object Exit Information",,"Exit date",,"exitDateGroup","structured date group","n","n","n/a"
"publicart_4-0-3","organization","Organization Information",,"Foundation date",,"foundingDateGroup","structured date group","n","n","n/a"
"publicart_4-0-3","organization","Organization Information",,"Dissolution date",,"dissolutionDateGroup","structured date group","n","n","n/a"
"publicart_4-0-3","person","Person Information",,"Birth date",,"birthDateGroup","structured date group","n","n","n/a"
"publicart_4-0-3","person","Person Information",,"Death date",,"deathDateGroup","structured date group","n","n","n/a"
"publicart_4-0-3","person","Maker-Supplied Identity Information","Supplied birth date","Birth date supplied","suppliedBirthDateGroupList > suppliedBirthDateGroup","suppliedStructuredBirthDateGroup","structured date group","n","n","y"
"publicart_4-0-3","place","Place Information","Term > Name detail","Term date","placeTermGroupList > placeTermGroup","nameDateGroup","structured date group","n","n","y"
"publicart_4-0-3","place","Place Information","Ownership","Ownership date","publicartPlaceOwnerGroupList > publicartPlaceOwnerGroup","ownershipDateGroup","structured date group","n","n","y"
"publicart_4-0-3","place","Georeference Information","Georeference","Georeference date","placeGeoRefGroupList > placeGeoRefGroup","geoRefDateGroup","structured date group","n","n","y"
"publicart_4-0-3","work","Work Information","Work date","Work date","workDateGroupList","workDateGroup","structured date group","n","y","n"
"lhmc_5-0-3","acquisition","Acquisition Information",,"Accessioned",,"accessionDateGroup","structured date group","n","n","n/a"
"lhmc_5-0-3","acquisition","Acquisition Information",,"Acquisition date","acquisitionDateGroupList","acquisitionDateGroup","structured date group","n","y","n"
"lhmc_5-0-3","citation","Citation Information","Publication","Publication date","citationPublicationInfoGroupList > citationPublicationInfoGroup","publicationDate","structured date group","n","n","y"
"lhmc_5-0-3","citation","Citation Information","Resource identifier","Resource identifier capture date","citationResourceIdentGroupList > citationResourceIdentGroup","captureDate","structured date group","n","n","y"
"lhmc_5-0-3","collectionobject","Object Description Information","Content","Content date",,"contentDateGroup","structured date group","n","n","n/a"
"lhmc_5-0-3","collectionobject","Object Description Information","Textual Inscription > Textual inscription","Textual inscription date","textualInscriptionGroupList > textualInscriptionGroup","inscriptionContentDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","collectionobject","Object Description Information","Non-Textual Inscription > Non-textual inscription","Non-textual inscription date","nonTextualInscriptionGroupList > nonTextualInscriptionGroup","inscriptionDescriptionDateGroup","structured date group","n","n","y"
"lhmc_5-0-3","collectionobject","Object Production Information",,"Production date","objectProductionDateGroupList","objectProductionDateGroup","structured date group","n","y","n"
"lhmc_5-0-3","collectionobject","Object History and Association Information","Associations > Associated date","Associated date value","assocDateGroupList > assocDateGroup","assocStructuredDateGroup","structured date group","n","n","y"
