profile,record_type,record_type_machine_name,record_section,path_to_field,field,field_machine_name,qualified_field_machine_name,importer_template_headers,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values
materials_4-0-1,Object,collectionobject,Object Description Information,"",Color,color,ns2:collectionobjects_common.color,color,string,n,y,n,"","",""
materials_4-0-1,Object,collectionobject,Object Description Information,"",Generic color,materialGenericColor,ns2:collectionobjects_materials.materialGenericColor,materialGenericColor; materialGenericColorRefname,string,n,y,n,vocabulary; refname,materialgenericcolor; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Description Information,"",Physical description,materialPhysicalDescription,ns2:collectionobjects_materials.materialPhysicalDescription,materialPhysicalDescription,string,n,y,n,"","",""
materials_4-0-1,Object,collectionobject,Object Description Information,"",Sample size,dimensionSummary,ns2:collectionobjects_common.dimensionSummary,dimensionSummary,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Description Information,"",Measurement dimension,dimension,ns2:collectionobjects_common.dimension,dimension,string,n,n,y,option list,dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width"
materials_4-0-1,Object,collectionobject,Object Description Information,"",Measurement value,value,ns2:collectionobjects_common.value,value,float,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Description Information,"",Measurement unit,measurementUnit,ns2:collectionobjects_common.measurementUnit,measurementUnit,string,n,n,y,option list,measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Responsible department,responsibleDepartment,ns2:collectionobjects_common.responsibleDepartment,responsibleDepartment,string,n,y,n,option list,departments,"antiquities, architecture-design, decorative-arts, ethnography, herpetology, media-performance-art, paintings-sculpture, paleobotany, photographs, prints-drawings"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Title,title,ns2:collectionobjects_common.title,title,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Title language,titleLanguage,ns2:collectionobjects_common.titleLanguage,titleLanguage; titleLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Title type,titleType,ns2:collectionobjects_common.titleType,titleType,string,n,n,y,option list,titleTypes,"assigned-by-artist, collection, generic, popular, series, trade"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Title translation,titleTranslation,ns2:collectionobjects_common.titleTranslation,titleTranslation,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Title translation language,titleTranslationLanguage,ns2:collectionobjects_common.titleTranslationLanguage,titleTranslationLanguage; titleTranslationLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Object name,objectName,ns2:collectionobjects_common.objectName,objectName,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Object name currency,objectNameCurrency,ns2:collectionobjects_common.objectNameCurrency,objectNameCurrency,string,n,n,y,option list,nameCurrencies,"archaic, current"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Object name level,objectNameLevel,ns2:collectionobjects_common.objectNameLevel,objectNameLevel,string,n,n,y,option list,nameLevels,"group, subgroup"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Object name system,objectNameSystem,ns2:collectionobjects_common.objectNameSystem,objectNameSystem,string,n,n,y,option list,nameSystems,"art-and-architecture-thesaurus, nomenclature"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Object name type,objectNameType,ns2:collectionobjects_common.objectNameType,objectNameType,string,n,n,y,option list,nameTypes,"classified, denomination, simple, taxonomic, typological"
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Object name language,objectNameLanguage,ns2:collectionobjects_common.objectNameLanguage,objectNameLanguage; objectNameLanguageRefname,string,n,n,y,vocabulary; refname,languages; vocabulary refname,""
materials_4-0-1,Object,collectionobject,Object Identification Information,"",Object name note,objectNameNote,ns2:collectionobjects_common.objectNameNote,objectNameNote,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Production Information,"",Production date,objectProductionDateGroup,ns2:collectionobjects_common.objectProductionDateGroup,objectProductionDateGroup,structured date group,n,y,n,"","",""
materials_4-0-1,Object,collectionobject,Object Production Information,"",Production place,objectProductionPlace,ns2:collectionobjects_common.objectProductionPlace,objectProductionPlace,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Production Information,"",Production place role,objectProductionPlaceRole,ns2:collectionobjects_common.objectProductionPlaceRole,objectProductionPlaceRole,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Production Information,"",Production people,objectProductionPeople,ns2:collectionobjects_common.objectProductionPeople,objectProductionPeople,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Production Information,"",Production people role,objectProductionPeopleRole,ns2:collectionobjects_common.objectProductionPeopleRole,objectProductionPeopleRole,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Production Information,"",Production person,objectProductionPerson,ns2:collectionobjects_common.objectProductionPerson,objectProductionPersonPersonLocal; objectProductionPersonPersonShared; objectProductionPersonRefname,string,n,n,y,authority; refname,person/local; person/shared; authority refname,""
materials_4-0-1,Object,collectionobject,Object Production Information,"",Production person role,objectProductionPersonRole,ns2:collectionobjects_common.objectProductionPersonRole,objectProductionPersonRole,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object Production Information,"",Production organization,objectProductionOrganization,ns2:collectionobjects_common.objectProductionOrganization,objectProductionOrganizationOrganizationLocal; objectProductionOrganizationOrganizationShared; objectProductionOrganizationRefname,string,n,n,y,authority; refname,organization/local; organization/shared; authority refname,""
materials_4-0-1,Object,collectionobject,Object Production Information,"",Production organization role,objectProductionOrganizationRole,ns2:collectionobjects_common.objectProductionOrganizationRole,objectProductionOrganizationRole,string,n,n,y,"","",""
materials_4-0-1,Object,collectionobject,Object History and Association Information,"",Object history note,objectHistoryNote,ns2:collectionobjects_common.objectHistoryNote,objectHistoryNote,string,n,n,n/a,"","",""
materials_4-0-1,Object,collectionobject,Object Owner's Contribution Information,"",Owner's contribution note,ownersContributionNote,ns2:collectionobjects_common.ownersContributionNote,ownersContributionNote,string,n,n,n/a,"","",""
materials_4-0-1,Object,collectionobject,Object Viewer's Contribution Information,"",Viewer's contribution note,viewersContributionNote,ns2:collectionobjects_common.viewersContributionNote,viewersContributionNote,string,n,n,n/a,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Term display name,termDisplayName,ns2:concepts_common.termDisplayName,termDisplayName,string,y,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Term name,termName,ns2:concepts_common.termName,termName,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Term qualifier,termQualifier,ns2:concepts_common.termQualifier,termQualifier,string,n,n,y,"","",""
materials_4-0-1,Concept,concept,Concept Information,"",Term status,termStatus,ns2:concepts_common.termStatus,termStatus,string,n,n,y,option list,conceptTermStatuses,"accepted, provisional, rejected, under review"
materials_4-0-1,Concept,concept,Concept Information,"",Term type,termType,ns2:concepts_common.termType,termType,string,n,n,y,option list,conceptTermTypes,"alternate descriptor, descriptor, used for term"
materials_4-0-1,Concept,concept,Concept Information,"",Term flag,termFlag,ns2:concepts_common.termFlag,termFlag; termFlagRefname,string,n,n,y,vocabulary; refname,concepttermflag; vocabulary refname,""
materials_4-0-1,Concept,concept,Concept Information,"",Term historical status,historicalStatus,ns2:concepts_common.historicalStatus,historicalStatus,string,n,n,y,option list,conceptHistoricalStatuses,"both, current, historical, unknown"
