profile,record_type,field,record_section,path_to_field,repeats,group_repeats,data_source_type,data_source_name,record_type_machine_name,field_machine_name
lhmc_7-0-0,Transport,Shipping quote provider,Cost Information,"",n,y,authority,person/local; organization/local,transport,shippingQuoteProvider
lhmc_7-0-0,Use of Collections,User name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,user
lhmc_7-0-0,Use of Collections,Authorized by,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,authorizedBy
lhmc_7-0-0,Use of Collections,Staff name,Use of Collections Information,"",n,y,authority,person/local; organization/local,uoc,staffName
lhmc_7-0-0,Use of Collections,Location,Use of Collections Information,"",y,n,authority,organization/local; place/local; location/local,uoc,location
lhmc_7-0-0,Work,Term source name,Work Information,Source,n,y,authority,citation/local; citation/worldcat,work,termSource
lhmc_7-0-0,Work,Creator name,Work Information,"",n,y,authority,person/local; organization/local,work,creator
lhmc_7-0-0,Work,Publisher name,Work Information,"",n,y,authority,person/local; organization/local,work,publisher
lhmc_7-0-0,Work,Address municipality,Work Information,"",n,y,authority,place/local; place/tgn,work,addressMunicipality
lhmc_7-0-0,Work,Address state/province,Work Information,"",n,y,authority,place/local; place/tgn,work,addressStateOrProvince
lhmc_7-0-0,Work,Address country,Work Information,"",n,y,authority,place/local; place/tgn,work,addressCountry
